Month,Site,Quadrat,Image.Name,Coral.ID,Longest.cm,Bleaching
March,1,34,_MCR0350,L1Q34C15,NA,2
March,1,34,_MCR0350,L1Q34C16,NA,2
March,1,35,_MCR0351,L1Q35C01,NA,0
March,1,35,_MCR0351,L1Q35C02,NA,0
March,1,35,_MCR0351,L1Q35C03,NA,0
March,1,35,_MCR0351,L1Q35C04,NA,0
March,1,35,_MCR0351,L1Q35C05,NA,2
March,1,35,_MCR0351,L1Q35C06,NA,2
March,1,35,_MCR0351,L1Q35C07,NA,0
March,1,35,_MCR0351,L1Q35C08,NA,0
March,1,35,_MCR0351,L1Q35C09,NA,2
